                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.91755,                0.61459,                 1.1125,                0.65011,                 0.5776,                0.61982,                 0.4424,                 1.0711,                0.76573,                 1.1634,               0.005611,               0.005611,               0.005611
                    136,                0.92894,                0.61674,                 1.1126,                 0.6683,                0.56642,                0.62057,                0.44242,                 1.0716,                0.76578,                 1.1638,               0.005578,               0.005578,               0.005578
                    137,                 0.9156,                0.61563,                 1.1128,                0.66012,                0.57253,                0.62016,                0.44228,                 1.0714,                0.76548,                 1.1636,               0.005545,               0.005545,               0.005545
                    138,                0.92491,                0.61346,                 1.1124,                0.65995,                0.57325,                0.62049,                0.44217,                 1.0718,                0.76545,                 1.1639,               0.005512,               0.005512,               0.005512
                    139,                0.92505,                 0.6134,                 1.1125,                0.65559,                0.58471,                  0.622,                0.44264,                  1.072,                0.76584,                  1.164,               0.005479,               0.005479,               0.005479
                    140,                0.92157,                0.61634,                 1.1147,                0.65288,                0.58101,                 0.6205,                0.44206,                  1.072,                0.76614,                 1.1641,               0.005446,               0.005446,               0.005446
                    141,                0.92398,                 0.6152,                 1.1137,                0.65206,                0.58012,                0.62026,                0.44229,                 1.0726,                0.76623,                 1.1646,               0.005413,               0.005413,               0.005413
                    142,                0.92694,                0.61425,                 1.1153,                0.65558,                0.58446,                0.62038,                0.44223,                 1.0732,                0.76595,                 1.1653,                0.00538,                0.00538,                0.00538
                    143,                0.92693,                0.60925,                 1.1127,                0.65508,                0.59099,                0.62069,                0.44259,                 1.0737,                0.76571,                 1.1657,               0.005347,               0.005347,               0.005347
                    144,                0.92516,                0.60606,                 1.1146,                0.65107,                0.59373,                0.62043,                0.44235,                  1.074,                0.76593,                  1.166,               0.005314,               0.005314,               0.005314
                    145,                 0.9179,                0.60299,                 1.1115,                0.65317,                0.59282,                0.62024,                0.44256,                 1.0747,                0.76618,                 1.1665,               0.005281,               0.005281,               0.005281
                    146,                0.91906,                0.60279,                 1.1099,                0.65587,                0.58984,                   0.62,                0.44238,                 1.0748,                0.76676,                 1.1667,               0.005248,               0.005248,               0.005248
                    147,                0.90852,                0.60334,                 1.1066,                0.65993,                 0.5881,                0.61984,                0.44229,                 1.0747,                0.76671,                 1.1667,               0.005215,               0.005215,               0.005215
                    148,                0.90612,                0.60018,                 1.1048,                 0.6605,                0.58705,                0.61994,                0.44269,                 1.0752,                0.76711,                 1.1671,               0.005182,               0.005182,               0.005182
                    149,                0.91207,                0.60591,                 1.1102,                0.66068,                 0.5858,                0.62005,                0.44247,                 1.0755,                0.76744,                 1.1675,               0.005149,               0.005149,               0.005149
                    150,                0.90552,                0.59885,                 1.1083,                0.66024,                0.58396,                0.61984,                0.44239,                 1.0758,                0.76738,                 1.1679,               0.005116,               0.005116,               0.005116
                    151,                0.91856,                0.60329,                 1.1113,                0.66405,                0.58275,                0.61964,                0.44258,                 1.0763,                0.76782,                  1.168,               0.005083,               0.005083,               0.005083
                    152,                0.91681,                0.59784,                 1.1069,                 0.6674,                0.58157,                0.61978,                0.44216,                 1.0767,                 0.7682,                 1.1683,                0.00505,                0.00505,                0.00505
                    153,                0.90633,                0.59492,                 1.1063,                0.66916,                0.58146,                0.62002,                0.44229,                 1.0771,                0.76775,                 1.1687,               0.005017,               0.005017,               0.005017
